2019-07-24 13:34:11,b'#HPE announces $500 million #investment in #India https://t.co/KJgTuaeJMR via @techobservor @HPE_IN @AntonioNeri_HPE'
2019-07-24 13:34:09,"b""RT @WenzelMichalski: German ambassador Walter Lindner's visit to the headquarters of the antisemitic, \xe2\x80\x9cNazi-inspired\xe2\x80\x9d Hindu group Rashtriya\xe2\x80\xa6"""
2019-07-24 13:33:59,"b'Are you looking for a partner to start or grow your #plastic #business? Well, #Plastivision #India 2020 is your pla\xe2\x80\xa6 https://t.co/6W7zLUEczz'"
2019-07-24 13:33:49,b'RT @SanTosHViratngr: @narendramodi #IncreaseSSCCGL2017Vacancies\n#IncreaseSSCCGL17Vacancies Modiji your 1 sight can change 1000s of lives  P\xe2\x80\xa6'
2019-07-24 13:33:17,b'LegalEdge Tutorials is more than happy to share with you that we have made it to 8K subscribers on our telegram cha\xe2\x80\xa6 https://t.co/dzMEeiYitT'
2019-07-24 13:32:59,b'RT @Maya64287589: Direct sale and buy your bike with app. It is simple use easy and find your dream bike your budget.\nhttps://t.co/hTbajscK\xe2\x80\xa6'
2019-07-24 13:32:56,b'RT @SanTosHViratngr: @narendramodi @HimaDas8 @PMOIndia @PiyushGoyal @News18Rajasthan @ndtvindia @Ra_THORe @SadhguruJV @rajnathsingh @DrJite\xe2\x80\xa6'
2019-07-24 13:32:52,b'RT @BradSherman: Everyone who knows anything about foreign policy in South Asia knows that #India consistently opposes third-party mediatio\xe2\x80\xa6'
2019-07-24 13:32:27,b'Shreyas Iyer comes in handy with his Leg spin bowling. He can be a good option to go with as he has got that patien\xe2\x80\xa6 https://t.co/9lrewbvaAY'
2019-07-24 13:32:08,b'RT @FinTech_Futures: JCB International has launched its first brand card to be issued in India in partnership with National Payments Corpor\xe2\x80\xa6'
2019-07-24 13:32:00,b'Jharkhand made the biggest strides among all states in India in reducing its multidimensional poverty from 75% in 2\xe2\x80\xa6 https://t.co/o0zpob91sO'
2019-07-24 13:31:41,b'RT @Ravicha89727625: @Btcexpertindia @AjeetK @anandmahindra India govt should be understand \nthe importance of crypto like bitcoin....witho\xe2\x80\xa6'
2019-07-24 13:31:41,"b'RT @DeccanChronicle: Indian-origin puts toy grenade in #Singapore to see reaction, fined\n\n#DCWorld #India\nhttps://t.co/GjSm0rZF0D'"
2019-07-24 13:31:29,"b'\xf0\x9f\x93\x8d The Golden Temple, Amritsar\nTravel in #India with us @BookMyTripIndi2 \n #booknow \xf0\x9f\x91\x87\nhttps://t.co/0r3ifROXo4  \nCont\xe2\x80\xa6 https://t.co/zTVrluWAft'"
